날짜,디지털/가전
2019-01-01,57
2019-01-02,58
2019-01-03,56
2019-01-04,52
2019-01-05,56
2019-01-06,61
2019-01-07,60
2019-01-08,57
2019-01-09,57
2019-01-10,55
2019-01-11,50
2019-01-12,55
2019-01-13,64
2019-01-14,73
2019-01-15,73
2019-01-16,67
2019-01-17,61
2019-01-18,55
2019-01-19,60
2019-01-20,66
2019-01-21,64
2019-01-22,63
2019-01-23,61
2019-01-24,57
2019-01-25,52
2019-01-26,55
2019-01-27,62
2019-01-28,60
2019-01-29,55
2019-01-30,51
2019-01-31,47
2019-02-01,42
2019-02-02,47
2019-02-03,47
2019-02-04,42
2019-02-05,48
2019-02-06,71
2019-02-07,73
2019-02-08,65
2019-02-09,70
2019-02-10,73
2019-02-11,69
2019-02-12,65
2019-02-13,64
2019-02-14,59
2019-02-15,56
2019-02-16,61
2019-02-17,67
2019-02-18,65
2019-02-19,63
2019-02-20,61
2019-02-21,60
2019-02-22,57
2019-02-23,61
2019-02-24,67
2019-02-25,66
2019-02-26,60
2019-02-27,60
2019-02-28,55
2019-03-01,66
2019-03-02,71
2019-03-03,74
2019-03-04,71
2019-03-05,96
2019-03-06,100
2019-03-07,87
2019-03-08,66
2019-03-09,70
2019-03-10,80
2019-03-11,70
2019-03-12,64
2019-03-13,63
2019-03-14,57
2019-03-15,53
2019-03-16,59
2019-03-17,65
2019-03-18,61
2019-03-19,58
2019-03-20,58
2019-03-21,55
2019-03-22,50
2019-03-23,56
2019-03-24,60
2019-03-25,60
2019-03-26,56
2019-03-27,54
2019-03-28,50
2019-03-29,43
2019-03-30,52
2019-03-31,57
2019-04-01,55
2019-04-02,52
2019-04-03,50
2019-04-04,48
2019-04-05,44
2019-04-06,50
2019-04-07,54
2019-04-08,52
2019-04-09,50
2019-04-10,50
2019-04-11,46
2019-04-12,42
2019-04-13,44
2019-04-14,54
2019-04-15,52
2019-04-16,48
2019-04-17,47
2019-04-18,46
2019-04-19,41
2019-04-20,46
2019-04-21,52
2019-04-22,54
2019-04-23,53
2019-04-24,53
2019-04-25,50
2019-04-26,45
2019-04-27,46
2019-04-28,52
2019-04-29,54
2019-04-30,46
2019-05-01,54
2019-05-02,49
2019-05-03,43
2019-05-04,46
2019-05-05,48
2019-05-06,57
2019-05-07,54
2019-05-08,50
2019-05-09,49
2019-05-10,45
2019-05-11,49
2019-05-12,56
2019-05-13,56
2019-05-14,55
2019-05-15,56
2019-05-16,59
2019-05-17,54
2019-05-18,55
2019-05-19,64
2019-05-20,64
2019-05-21,56
2019-05-22,56
2019-05-23,56
2019-05-24,56
2019-05-25,60
2019-05-26,66
2019-05-27,69
2019-05-28,60
2019-05-29,58
2019-05-30,54
2019-05-31,47
2019-06-01,52
2019-06-02,58
2019-06-03,61
2019-06-04,58
2019-06-05,56
2019-06-06,64
2019-06-07,55
2019-06-08,54
2019-06-09,61
2019-06-10,60
2019-06-11,58
2019-06-12,57
2019-06-13,55
2019-06-14,50
2019-06-15,53
2019-06-16,59
2019-06-17,60
2019-06-18,58
2019-06-19,59
2019-06-20,56
2019-06-21,53
2019-06-22,55
2019-06-23,61
2019-06-24,64
2019-06-25,60
2019-06-26,62
2019-06-27,60
2019-06-28,55
2019-06-29,60
2019-06-30,67
2019-07-01,67
2019-07-02,62
2019-07-03,60
2019-07-04,59
2019-07-05,55
2019-07-06,61
2019-07-07,65
2019-07-08,63
2019-07-09,59
2019-07-10,57
2019-07-11,55
2019-07-12,49
2019-07-13,56
2019-07-14,64
2019-07-15,65
2019-07-16,60
2019-07-17,62
2019-07-18,61
2019-07-19,56
2019-07-20,63
2019-07-21,69
2019-07-22,70
2019-07-23,69
2019-07-24,70
2019-07-25,68
2019-07-26,61
2019-07-27,64
2019-07-28,70
2019-07-29,68
2019-07-30,66
2019-07-31,66
2019-08-01,66
2019-08-02,60
2019-08-03,62
2019-08-04,68
2019-08-05,71
2019-08-06,69
2019-08-07,68
2019-08-08,66
2019-08-09,60
2019-08-10,62
2019-08-11,65
2019-08-12,68
2019-08-13,67
2019-08-14,63
2019-08-15,69
2019-08-16,59
2019-08-17,62
2019-08-18,64
2019-08-19,66
2019-08-20,65
2019-08-21,66
2019-08-22,62
2019-08-23,57
2019-08-24,59
2019-08-25,63
2019-08-26,65
2019-08-27,64
2019-08-28,64
2019-08-29,62
2019-08-30,54
2019-08-31,57
2019-09-01,68
2019-09-02,66
2019-09-03,64
2019-09-04,64
2019-09-05,61
2019-09-06,54
2019-09-07,63
2019-09-08,67
2019-09-09,59
2019-09-10,53
2019-09-11,46
2019-09-12,46
2019-09-13,51
2019-09-14,66
2019-09-15,78
2019-09-16,79
2019-09-17,73
2019-09-18,69
2019-09-19,65
2019-09-20,57
2019-09-21,65
2019-09-22,72
2019-09-23,67
2019-09-24,65
2019-09-25,62
2019-09-26,58
2019-09-27,54
2019-09-28,57
2019-09-29,63
2019-09-30,64
2019-10-01,63
2019-10-02,61
2019-10-03,65
2019-10-04,56
2019-10-05,59
2019-10-06,65
2019-10-07,69
2019-10-08,61
2019-10-09,69
2019-10-10,66
2019-10-11,58
2019-10-12,59
2019-10-13,66
2019-10-14,66
2019-10-15,64
2019-10-16,63
2019-10-17,60
2019-10-18,56
2019-10-19,58
2019-10-20,66
2019-10-21,67
2019-10-22,63
2019-10-23,62
2019-10-24,59
2019-10-25,52
2019-10-26,57
2019-10-27,66
2019-10-28,69
2019-10-29,69
2019-10-30,64
2019-10-31,60
2019-11-01,66
2019-11-02,68
2019-11-03,74
2019-11-04,73
2019-11-05,70
2019-11-06,68
2019-11-07,67
2019-11-08,61
2019-11-09,66
2019-11-10,74
2019-11-11,77
2019-11-12,71
2019-11-13,72
2019-11-14,70
2019-11-15,63
2019-11-16,64
2019-11-17,76
2019-11-18,77
2019-11-19,74
2019-11-20,69
2019-11-21,66
2019-11-22,58
2019-11-23,63
2019-11-24,69
2019-11-25,72
2019-11-26,70
2019-11-27,68
2019-11-28,65
2019-11-29,60
2019-11-30,65
2019-12-01,77
2019-12-02,73
2019-12-03,70
2019-12-04,67
2019-12-05,66
2019-12-06,63
2019-12-07,66
2019-12-08,74
2019-12-09,74
2019-12-10,70
2019-12-11,70
2019-12-12,66
2019-12-13,58
2019-12-14,62
2019-12-15,72
2019-12-16,69
2019-12-17,67
2019-12-18,61
2019-12-19,59
2019-12-20,54
2019-12-21,58
2019-12-22,64
2019-12-23,61
2019-12-24,53
2019-12-25,67
2019-12-26,60
2019-12-27,53
2019-12-28,58
2019-12-29,65
2019-12-30,59
2019-12-31,52
2020-01-01,73
