날짜,가구/인테리어
2019-06-30,59
2019-07-01,60
2019-07-02,56
2019-07-03,53
2019-07-04,51
2019-07-05,44
2019-07-06,45
2019-07-07,55
2019-07-08,57
2019-07-09,54
2019-07-10,53
2019-07-11,50
2019-07-12,44
2019-07-13,49
2019-07-14,62
2019-07-15,64
2019-07-16,58
2019-07-17,55
2019-07-18,55
2019-07-19,48
2019-07-20,51
2019-07-21,64
2019-07-22,64
2019-07-23,60
2019-07-24,58
2019-07-25,54
2019-07-26,49
2019-07-27,48
2019-07-28,61
2019-07-29,60
2019-07-30,56
2019-07-31,53
2019-08-01,52
2019-08-02,46
2019-08-03,47
2019-08-04,58
2019-08-05,59
2019-08-06,57
2019-08-07,56
2019-08-08,54
2019-08-09,48
2019-08-10,49
2019-08-11,62
2019-08-12,62
2019-08-13,59
2019-08-14,54
2019-08-15,61
2019-08-16,56
2019-08-17,54
2019-08-18,63
2019-08-19,64
2019-08-20,61
2019-08-21,60
2019-08-22,57
2019-08-23,51
2019-08-24,52
2019-08-25,65
2019-08-26,66
2019-08-27,64
2019-08-28,63
2019-08-29,61
2019-08-30,52
2019-08-31,54
2019-09-01,70
2019-09-02,68
2019-09-03,66
2019-09-04,62
2019-09-05,59
2019-09-06,51
2019-09-07,57
2019-09-08,68
2019-09-09,61
2019-09-10,52
2019-09-11,43
2019-09-12,41
2019-09-13,42
2019-09-14,53
2019-09-15,70
2019-09-16,73
2019-09-17,67
2019-09-18,65
2019-09-19,61
2019-09-20,53
2019-09-21,57
2019-09-22,74
2019-09-23,71
2019-09-24,66
2019-09-25,62
2019-09-26,59
2019-09-27,51
2019-09-28,53
2019-09-29,67
2019-09-30,67
2019-10-01,64
2019-10-02,60
2019-10-03,64
2019-10-04,59
2019-10-05,58
2019-10-06,70
2019-10-07,73
2019-10-08,60
2019-10-09,69
2019-10-10,66
2019-10-11,55
2019-10-12,55
2019-10-13,69
2019-10-14,67
2019-10-15,63
2019-10-16,61
2019-10-17,58
2019-10-18,53
2019-10-19,53
2019-10-20,68
2019-10-21,70
2019-10-22,66
2019-10-23,61
2019-10-24,57
2019-10-25,50
2019-10-26,51
2019-10-27,67
2019-10-28,70
2019-10-29,65
2019-10-30,61
2019-10-31,56
2019-11-01,53
2019-11-02,57
2019-11-03,73
2019-11-04,74
2019-11-05,69
2019-11-06,66
2019-11-07,64
2019-11-08,56
2019-11-09,57
2019-11-10,73
2019-11-11,73
2019-11-12,69
2019-11-13,70
2019-11-14,65
2019-11-15,57
2019-11-16,57
2019-11-17,77
2019-11-18,77
2019-11-19,71
2019-11-20,68
2019-11-21,62
2019-11-22,55
2019-11-23,55
2019-11-24,72
2019-11-25,73
2019-11-26,70
2019-11-27,69
2019-11-28,65
2019-11-29,56
2019-11-30,58
2019-12-01,80
2019-12-02,77
2019-12-03,73
2019-12-04,70
2019-12-05,67
2019-12-06,60
2019-12-07,59
2019-12-08,76
2019-12-09,76
2019-12-10,71
2019-12-11,69
2019-12-12,65
2019-12-13,58
2019-12-14,59
2019-12-15,74
2019-12-16,75
2019-12-17,70
2019-12-18,62
2019-12-19,57
2019-12-20,50
2019-12-21,50
2019-12-22,63
2019-12-23,59
2019-12-24,45
2019-12-25,53
2019-12-26,58
2019-12-27,50
2019-12-28,52
2019-12-29,64
2019-12-30,59
2019-12-31,47
2020-01-01,55
2020-01-02,59
2020-01-03,52
2020-01-04,55
2020-01-05,66
2020-01-06,64
2020-01-07,60
2020-01-08,57
2020-01-09,56
2020-01-10,48
2020-01-11,51
2020-01-12,65
2020-01-13,63
2020-01-14,58
2020-01-15,56
2020-01-16,54
2020-01-17,48
2020-01-18,50
2020-01-19,62
2020-01-20,57
2020-01-21,50
2020-01-22,45
2020-01-23,40
2020-01-24,38
2020-01-25,38
2020-01-26,48
2020-01-27,64
2020-01-28,61
2020-01-29,62
2020-01-30,60
2020-01-31,52
2020-02-01,62
2020-02-02,77
2020-02-03,71
2020-02-04,71
2020-02-05,70
2020-02-06,67
2020-02-07,60
2020-02-08,65
2020-02-09,82
2020-02-10,78
2020-02-11,74
2020-02-12,74
2020-02-13,69
2020-02-14,60
2020-02-15,65
2020-02-16,79
2020-02-17,78
2020-02-18,71
2020-02-19,66
2020-02-20,61
2020-02-21,53
2020-02-22,61
2020-02-23,73
2020-02-24,70
2020-02-25,73
2020-02-26,73
2020-02-27,73
2020-02-28,70
2020-02-29,79
2020-03-01,100
2020-03-02,91
2020-03-03,88
2020-03-04,89
2020-03-05,86
2020-03-06,79
2020-03-07,86
2020-03-08,100
2020-03-09,96
2020-03-10,91
2020-03-11,87
2020-03-12,83
2020-03-13,74
2020-03-14,78
2020-03-15,96
2020-03-16,93
2020-03-17,87
2020-03-18,83
2020-03-19,81
2020-03-20,70
2020-03-21,74
2020-03-22,88
2020-03-23,87
2020-03-24,79
2020-03-25,77
2020-03-26,76
2020-03-27,70
2020-03-28,72
2020-03-29,85
2020-03-30,87
2020-03-31,80
2020-04-01,82
2020-04-02,80
2020-04-03,70
2020-04-04,75
2020-04-05,90
2020-04-06,89
2020-04-07,82
2020-04-08,80
2020-04-09,75
2020-04-10,68
2020-04-11,73
2020-04-12,93
2020-04-13,85
2020-04-14,76
2020-04-15,82
2020-04-16,79
2020-04-17,72
2020-04-18,73
2020-04-19,96
2020-04-20,88
2020-04-21,83
2020-04-22,82
2020-04-23,77
2020-04-24,68
2020-04-25,70
2020-04-26,88
2020-04-27,84
2020-04-28,74
2020-04-29,63
2020-04-30,65
2020-05-01,66
2020-05-02,68
2020-05-03,80
2020-05-04,76
2020-05-05,82
2020-05-06,75
2020-05-07,65
2020-05-08,56
2020-05-09,63
2020-05-10,76
2020-05-11,75
2020-05-12,72
2020-05-13,70
2020-05-14,67
2020-05-15,63
2020-05-16,65
2020-05-17,82
2020-05-18,84
2020-05-19,77
2020-05-20,72
2020-05-21,68
2020-05-22,61
2020-05-23,64
2020-05-24,82
2020-05-25,79
2020-05-26,72
2020-05-27,68
2020-05-28,62
2020-05-29,57
2020-05-30,64
2020-05-31,81
2020-06-01,79
2020-06-02,73
2020-06-03,70
2020-06-04,68
2020-06-05,59
2020-06-06,64
2020-06-07,78
2020-06-08,76
2020-06-09,70
2020-06-10,70
2020-06-11,66
2020-06-12,60
2020-06-13,64
2020-06-14,80
2020-06-15,75
2020-06-16,67
2020-06-17,63
2020-06-18,61
2020-06-19,54
2020-06-20,56
2020-06-21,70
2020-06-22,69
2020-06-23,64
2020-06-24,63
2020-06-25,60
2020-06-26,52
2020-06-27,54
2020-06-28,69
2020-06-29,68
2020-06-30,63
